,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
BETA20,-0.007189158,0.18061796,-0.039803114,-0.0062831874071277065,0.194481694796131,-0.03230734435259179,0.4896797153024911,0.13822939
MAX5,0.002205793,0.18136181,0.012162389,-0.0011654168162903772,0.18699855157424145,-0.006232223427171593,0.499644128113879,0.13747527
BETA30,-0.0063961693,0.17952208,-0.03562887,-0.0049285449370119324,0.18948988896335908,-0.026009539104588083,0.49323843416370106,0.13691188
RSV60,-0.0017732973,0.17654796,-0.01004428,-0.0003568839040119306,0.19404847999784888,-0.0018391480604455454,0.5117437722419929,0.13632573
ROC10,0.005252317,0.17918734,0.029311873,0.005791390658262761,0.19067436541640118,0.030373198525577048,0.502491103202847,0.13576613
MA10,0.00551068,0.17877567,0.03082455,0.006576994131785208,0.1905428118806834,0.03451714458130402,0.498932384341637,0.13570355
RESI60,-0.0046846597,0.1780827,-0.026306087,-0.004959845264752963,0.19125179208787027,-0.025933587085752906,0.4804270462633452,0.13567531
BETA10,-0.006633908,0.17684335,-0.037512906,-0.006773127049686975,0.18949432369148744,-0.03574316401837213,0.498932384341637,0.13436732
RESI30,-0.001947493,0.17692734,-0.011007302,-0.0035632737668941077,0.18515018643463577,-0.019245314536579836,0.49537366548042705,0.1341585
QTLU10,0.00541655,0.17804323,0.030422665,0.005802193370638869,0.19150607828817298,0.03029769665551255,0.499644128113879,0.13323396
STD5,-0.00168972,0.17873265,-0.0094538955,-0.004257803621150249,0.18104035495351453,-0.02351853202595741,0.502491103202847,0.13288493
MA5,0.0039267973,0.17303905,0.022693126,0.005210159737103953,0.18485101150673017,0.028185723263175252,0.499644128113879,0.130963
QTLD60,0.00649822,0.16881983,0.03849204,0.006138401973282714,0.17845235592977202,0.03439798593479234,0.498932384341637,0.13067953
ROC5,0.005865055,0.17529473,0.033458248,0.005176720726058317,0.18698910444339553,0.027684610098655714,0.5039145907473309,0.13061345
QTLU5,0.0026768094,0.1715448,0.01560414,0.0033332859129054765,0.1845588906561614,0.018060824490472475,0.498220640569395,0.1295542
BETA5,-0.0051470622,0.17270397,-0.0298028,-0.004370331195807283,0.18467240053120787,-0.02366531732182452,0.500355871886121,0.12936254
QTLD30,0.0077440785,0.16768166,0.046183214,0.008030923951821546,0.18067765432783128,0.044448902866321124,0.5039145907473309,0.12899235
QTLD20,0.006908209,0.16764317,0.041207813,0.008266609419182275,0.18137226955632307,0.045578130458547694,0.503202846975089,0.12876163
SUMN20,0.005586591,0.16514683,0.033828024,0.005709589856263215,0.18478470164437816,0.030898605222554526,0.5060498220640569,0.12817018
SUMD20,-0.0056033283,0.16514805,-0.03392912,-0.005708835581549093,0.18477409330834985,-0.03089629704235244,0.49395017793594304,0.12815328
SUMP20,-0.0056106243,0.16510858,-0.03398142,-0.005713178803811762,0.18476282293084473,-0.03092168870321533,0.49395017793594304,0.12809658
